id_casas,Casas,Regiao
248,Lolliston,Riverlands
249,Long,North
250,Longthorpe of Longsister,Vale of Arryn (Sistermen)
251,Longwaters,Crownlands
252,Lonmouth,Stormlands
253,Lorch,Westerlands
254,Lothston of Harrenhal,Riverlands
255,Lowther,Reach
256,Lyberr,Reach
257,Lychester,Riverlands
258,Lydden of Deep Den,Westerlands
259,Lynderly of Snakewood,Vale of Arryn
260,Magnar of Kingshouse,North (Skagosi Clans)
261,Mallery,Crownlands
262,Mallister of Seagard,Riverlands
263,Manderly of White Harbor,North
264,Mandrake,Unknown
265,Manning,Crownlands
266,Manwoody of Kingsgrave,Dorne
267,Marbrand of Ashemark,Westerlands
268,Marsh,North
269,Martell of Sunspear,Dorne
270,Massey of Stonedance,Crownlands
271,Meadows of Grassy Vale,Reach
272,Melcolm of Old Anchor,Vale of Arryn
273,Merlyn of Pebbleton,Iron Islands
274,Merryweather of Longtable,Reach
275,Mertyns of Mistwood,Stormlands
276,Middlebury,Reach
277,Mollen,North
278,Moore,Vale of Arryn
279,Mooton of Maidenpool,Riverlands
280,Moreland,Westerlands
281,Mormont of Bear Island,North
282,Morrigen of Crow's Nest,Stormlands
283,Moss,North
284,Mudd of Oldstones,Riverlands
285,Mullendore of Uplands,Reach
286,Musgood,Stormlands
287,Myatt,Westerlands
288,Myre of Harlaw,Iron Islands
289,Nayland of Hag's Mire,Riverlands
290,Netley,Iron Islands
291,Norcross,Reach
292,Norrey,North (Mountain Clans)
293,Norridge,Reach
294,Nute of Oakenshield,Iron Islands (Shield Islands)
295,Nutt,Riverlands
296,Oakheart of Old Oak,Reach
297,Oldflowers,Reach
298,Orkwood of Orkmont,Iron Islands
299,Orme,Reach
300,Osgrey of Leafy Lake,Reach
301,Osgrey of Standfast,Reach
302,Overton,North
303,Paege,Riverlands
304,Parren,Westerlands
305,Payne,Westerlands
306,Peake of Starpike,Reach
307,Peasebury of Poddingfield,Stormlands
308,Peat,North (Crannogmen)
309,Peckledon,Westerlands
310,Pemford,Riverlands
311,Penny,Unknown
312,Penrose of Parchments,Stormlands
313,Perryn,Riverlands
314,Piper of Pinkmaiden,Riverlands
315,Plumm,Westerlands
316,Pommingham,Reach
317,Poole,North
318,Potter,Unknown
319,Prester of Feastfires,Westerlands
320,Pryor of Pebble,Vale of Arryn
321,Pyle,Crownlands
322,Pyne,Crownlands (Crackclaw Point)
323,Qoherys of Harrenhal,Riverlands
324,Qorgyle of Sandstone,Dorne
325,Quagg,North (Crannogmen)
326,Rambton,Crownlands
327,Redbeard,North
328,Redding,Reach
329,Redfort of Redfort,Vale of Arryn
330,Redwyne of the Arbor,Reach
331,Reed of Greywater Watch,North (Crannogmen)
332,Reyne of Castamere,Westerlands
333,Rhysling,Reach
334,Risley of Risley Glade,Reach
335,Rogers of Amberly,Stormlands
336,Rollingford,Crownlands
337,Roote of Lord Harroway's Town,Riverlands
338,Rosby of Rosby,Crownlands
339,Rowan of Goldengrove,Reach
340,Roxton of the Ring,Reach
341,Royce of Runestone,Vale of Arryn
342,Royce of the Gates of the Moon,Vale of Arryn
343,Ruskyn,Unknown
344,Ruthermont,Vale of Arryn
345,Ruttiger,Westerlands
346,Ryder of the Rills,North
347,Ryger of Willow Wood,Riverlands
348,Rykker of Duskendale,Crownlands
349,Ryswell of the Rills,North
350,Saltcliffe of Saltcliffe,Iron Islands
351,Santagar of Spottswood,Dorne
352,Sarsfield of Sarsfield,Westerlands
353,Sawyer,Unknown
354,Seaworth of Cape Wrath,Stormlands
355,Selmy of Harvest Hall,Stormlands (Marcher Lords)
356,Serrett of Silverhill,Westerlands
357,Serry of Southshield,Reach (Shield Islands)
358,Sharp,Iron Islands
359,Shawney,Riverlands
360,Shell,Vale of Arryn
361,Shell,Dorne
362,Shepherd,Iron Islands
363,Shermer of Smithyton,Reach
364,Shett of Gull Tower,Vale of Arryn
365,Shett of Gulltown,Vale of Arryn
366,Slate of Blackpool,North
367,Sloane,Reach
368,Slynt of Harrenhal,Crownlands (origin)
369,Smallwood of Acorn Hall,Riverlands
370,Sparr of Great Wyk,Iron Islands
371,Spicer of Castamere,Westerlands
372,Stackhouse,Reach
373,Stackspear,Westerlands
374,Staedmon of Broad Arch,Stormlands
375,Stane of Driftwood Hall,North (Skagosi Clans)
376,Stark of Winterfell,North
377,Staunton of Rook's Rest,Crownlands
378,Stokeworth of Stokeworth,Crownlands
379,Stonehouse of Old Wyk,Iron Islands
380,Stonetree of Harlaw,Iron Islands
381,Stout of Goldgrass,North
382,Strickland,Unknown
383,Strong of Harrenhal,Riverlands
384,Suggs,Unknown
385,Sunderland of the Three Sisters,Vale of Arryn (Sistermen)
386,Sunderly of Saltcliffe,Iron Islands
387,Sunglass of Sweetport Sound,Crownlands (Dragonstone)
388,Swann of Stonehelm,Stormlands (Marcher Lords)
389,Swyft of Cornfield,Westerlands
390,Swygert,Stormlands
391,Tallhart of Torrhen's Square,North
392,Tarbeck of Tarbeck Hall,Westerlands
393,Targaryen of King's Landing,Crownlands
394,Tarly of Horn Hill,Reach
395,Tarth of Evenfall Hall,Stormlands
396,Tawney of Orkmont,Iron Islands
397,Teague,Riverlands
398,Templeton of Ninestars,Vale of Arryn
399,Terrick,Riverlands
400,Thenn,North
401,Thorne,Crownlands
402,Toland of Ghost Hill,Dorne
403,Tollett of the Grey Glen,Vale of Arryn
404,Torrent of Littlesister,Vale of Arryn (Sistermen)
405,Towers,North
406,Towers of Harrenhal,Riverlands
407,Toyne,Stormlands
408,Trant of Gallowsgrey,Stormlands
409,Tudbury,Stormlands
410,Tully of Riverrun,Riverlands
411,Turnberry,Westerlands
412,Tyrell of Brightwater Keep,Reach
413,Tyrell of Highgarden,Reach
414,Uffering,Reach
415,Uller of the Hellholt,Dorne
416,Umber of the Last Hearth,North
417,Upcliff of the Witch Isle,Vale of Arryn
418,Vaith of the Red Dunes,Dorne
419,Vance of Atranta,Riverlands
420,Vance of Wayfarer's Rest,Riverlands
421,Varner,Reach
422,Velaryon of Driftmark,Crownlands (Dragonstone)
423,Vikary,Westerlands
424,Volmark of Volmark,Iron Islands (Shield Islands)
425,Vypren,Riverlands
426,Vyrwel of Darkdell,Reach
427,Wade,Dorne
428,Wagstaff,Stormlands
429,Warrick,Unknown
430,Waterman,North
431,Waxley of Wickenden,Vale of Arryn
432,Wayn,Riverlands
433,Waynwood of Ironoaks,Vale of Arryn
434,Weatherwax,Unknown
435,Weaver,Iron Islands
436,Webber of Coldmoat,Reach
437,Wells,Dorne
438,Wells,North
439,Wendwater,Crownlands
440,Wensington,Stormlands
441,Westbrook,Reach
442,Westerling of the Crag,Westerlands
443,Whitfield,Unknown
444,Whent of Harrenhal,Riverlands
445,Whitehead of the Weeping Town,Stormlands
446,Whitehill of Highpoint,North
447,Willum,Reach
448,Wode,Riverlands
449,Woodfoot of Bear Island,North
450,Woodhull,Vale of Arryn
451,Woods,North (Wolfswood Clans)
452,Woodwright,Reach
453,Woolfield,North
454,Wull,North (Mountain Clans)
455,Wydman,Vale of Arryn
456,Wyl of the Boneway,Dorne
457,Wylde of Rain House,Stormlands
458,Wynch of Iron Holt,Iron Islands
459,Wythers,Reach
460,Yarwyck,Westerlands
461,Yelshire,Reach
462,Yew,Westerlands
463,Yronwood of Yronwood,Dorne
464,Branfield,Unknown
465,Forrester of Ironrath,North (Wolfswood Clans)
466,Glenmore of Rillwater Crossing,North
467,Tuttle,North
468,Whitehill,North
469,Harlton of Castlewood,Riverlands
470,Sarwyck of Riverspring,Westerlands
471,Westford,Westerlands
